site,scenario,level,seed,policy,horizon_s,eligible_tasks,completed,overdue_en_route,overdue_assigned,run,registry_sha256
A,E3_L1_F1_C2,L1,20240615,B2,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240615/B2,70eb746a297a1369038b8f40973428d863066a1966deedf3bb43b523d7aedf86
A,E3_L1_F1_C2,L1,20240615,B4b,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240615/B4b,70eb746a297a1369038b8f40973428d863066a1966deedf3bb43b523d7aedf86
A,E3_L1_F1_C2,L1,20240616,B0,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240616/B0,4f86997e984a5e66d9317a56f02103dd0176bd95f7707bac09262b174f7fef91
A,E3_L1_F1_C2,L1,20240616,B1,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240616/B1,c3196aa9ba4138ed31cf94a76c07d12f34171aa6eae20de94f003cd80718c043
A,E3_L1_F1_C2,L1,20240616,B2,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240616/B2,c3196aa9ba4138ed31cf94a76c07d12f34171aa6eae20de94f003cd80718c043
A,E3_L1_F1_C2,L1,20240616,B4b,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240616/B4b,c3196aa9ba4138ed31cf94a76c07d12f34171aa6eae20de94f003cd80718c043
A,E3_L1_F1_C2,L1,20240617,B0,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240617/B0,ee81e23ecd945c1b9934aee5f2b3586fd2b89466f3cfcaaf5705b22e29e4a3a8
A,E3_L1_F1_C2,L1,20240617,B1,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240617/B1,83a049acd9a233d1ff256b191061afcc8a47b3beb1f11f1c1d5e1bdb22aa8107
A,E3_L1_F1_C2,L1,20240617,B2,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240617/B2,83a049acd9a233d1ff256b191061afcc8a47b3beb1f11f1c1d5e1bdb22aa8107
A,E3_L1_F1_C2,L1,20240617,B4b,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240617/B4b,83a049acd9a233d1ff256b191061afcc8a47b3beb1f11f1c1d5e1bdb22aa8107
A,E3_L1_F1_C2,L1,20240618,B0,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240618/B0,727f39524853fc64daccf975fc2e005dcea5ce538bb2903285c60899887bc3c7
A,E3_L1_F1_C2,L1,20240618,B1,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240618/B1,c9eac295867fce2d4068c1a3afd2f8f5a61b532a996fa670a779d76f2f4ca8a1
A,E3_L1_F1_C2,L1,20240618,B2,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240618/B2,c9eac295867fce2d4068c1a3afd2f8f5a61b532a996fa670a779d76f2f4ca8a1
A,E3_L1_F1_C2,L1,20240618,B4b,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240618/B4b,c9eac295867fce2d4068c1a3afd2f8f5a61b532a996fa670a779d76f2f4ca8a1
A,E3_L1_F1_C2,L1,20240619,B0,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240619/B0,1df42ac80093c08d61837c627eb09c99ed8ef220800b89cdd91833a8c0ab54f5
A,E3_L1_F1_C2,L1,20240619,B1,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240619/B1,120f30978774e417dc66aefcf5285c598e0731ac3337d8c73e1bf3844b99e840
A,E3_L1_F1_C2,L1,20240619,B2,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240619/B2,120f30978774e417dc66aefcf5285c598e0731ac3337d8c73e1bf3844b99e840
A,E3_L1_F1_C2,L1,20240619,B4b,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240619/B4b,120f30978774e417dc66aefcf5285c598e0731ac3337d8c73e1bf3844b99e840
A,E3_L1_F1_C2,L1,20240620,B0,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240620/B0,e83de6afdab6cb586f86717a91b5fe8717326ac99f8d0e2e3e3817ec8a666fac
A,E3_L1_F1_C2,L1,20240620,B1,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240620/B1,98403a90d493ada6c3ba10e97184f050107ea82c90e41e9b0fd27f6b7a1fbefd
A,E3_L1_F1_C2,L1,20240620,B2,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240620/B2,98403a90d493ada6c3ba10e97184f050107ea82c90e41e9b0fd27f6b7a1fbefd
A,E3_L1_F1_C2,L1,20240620,B4b,900,1,1,0,0,runs/experiment3/E3_L1_F1_C2/seed20240620/B4b,98403a90d493ada6c3ba10e97184f050107ea82c90e41e9b0fd27f6b7a1fbefd
A,E3_L1_F5_C2,L1,20240601,B0,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240601/B0,9dbec6499c4d59db4381fa714eb5776bd86f9515414ba98549cde4ef9caceb87
A,E3_L1_F5_C2,L1,20240601,B1,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240601/B1,ec41cf4ebb21e6dfbd006037da645438820a6b21817a529b2fbfdf23354acadb
A,E3_L1_F5_C2,L1,20240601,B2,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240601/B2,ec41cf4ebb21e6dfbd006037da645438820a6b21817a529b2fbfdf23354acadb
A,E3_L1_F5_C2,L1,20240601,B4b,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240601/B4b,ec41cf4ebb21e6dfbd006037da645438820a6b21817a529b2fbfdf23354acadb
A,E3_L1_F5_C2,L1,20240602,B0,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240602/B0,24a39038eb060f870224bc7b5b6b73a714280db94b9b9013bcea84262988ab44
A,E3_L1_F5_C2,L1,20240602,B1,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240602/B1,c7ce7b05b4757ce68a249223d869b64a797e242eab1e42b3b82794ca03f3e51f
A,E3_L1_F5_C2,L1,20240602,B2,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240602/B2,c7ce7b05b4757ce68a249223d869b64a797e242eab1e42b3b82794ca03f3e51f
A,E3_L1_F5_C2,L1,20240602,B4b,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240602/B4b,c7ce7b05b4757ce68a249223d869b64a797e242eab1e42b3b82794ca03f3e51f
A,E3_L1_F5_C2,L1,20240603,B0,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240603/B0,60a76b9ab651e498e10abbbb678a54235589baae9959e5c5dcc330c4a8152370
A,E3_L1_F5_C2,L1,20240603,B1,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240603/B1,480cc1838d779992094265bfbd85b828793dd4c1ebe728288bbe26c3397e773e
A,E3_L1_F5_C2,L1,20240603,B2,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240603/B2,480cc1838d779992094265bfbd85b828793dd4c1ebe728288bbe26c3397e773e
A,E3_L1_F5_C2,L1,20240603,B4b,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240603/B4b,480cc1838d779992094265bfbd85b828793dd4c1ebe728288bbe26c3397e773e
A,E3_L1_F5_C2,L1,20240604,B0,900,1,1,0,0,runs/experiment3/E3_L1_F5_C2/seed20240604/B0,6c227911ff1e3a1a2e4c7a68e17e17fcaae2412c1338d71727283c924b26a2d6
