t,sim_time_s,aircraft_id,type,lat,lon,alt_m,status,mission_id,dest
55,55,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
56,56,EVTOL-01,EC35,31.3140347,120.5977301,199.9,BUSY,M-P-001,V2
56,56,L-UAV-01,AMZN,31.3050250,120.6015949,100.0,BUSY,M-L-001,V3
56,56,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
56,56,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
57,57,EVTOL-01,EC35,31.3137793,120.5974279,199.9,BUSY,M-P-001,V2
57,57,L-UAV-01,AMZN,31.3051389,120.6016814,100.0,BUSY,M-L-001,V3
57,57,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
57,57,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
58,58,EVTOL-01,EC35,31.3134964,120.5971613,199.9,BUSY,M-P-001,V2
58,58,L-UAV-01,AMZN,31.3052527,120.6017678,100.0,BUSY,M-L-001,V3
58,58,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
58,58,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
59,59,EVTOL-01,EC35,31.3131895,120.5969339,199.9,BUSY,M-P-001,V2
59,59,L-UAV-01,AMZN,31.3053666,120.6018543,100.0,BUSY,M-L-001,V3
59,59,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
59,59,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
60,60,EVTOL-01,EC35,31.3128627,120.5967485,199.9,BUSY,M-P-001,V2
60,60,L-UAV-01,AMZN,31.3054805,120.6019408,100.0,BUSY,M-L-001,V3
60,60,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
60,60,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
61,61,EVTOL-01,EC35,31.3125200,120.5966076,199.9,BUSY,M-P-001,V2
61,61,L-UAV-01,AMZN,31.3055944,120.6020272,100.0,BUSY,M-L-001,V3
61,61,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
61,61,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
62,62,EVTOL-01,EC35,31.3121660,120.5965128,199.9,BUSY,M-P-001,V2
62,62,L-UAV-01,AMZN,31.3057083,120.6021137,100.0,BUSY,M-L-001,V3
62,62,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
62,62,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
63,63,EVTOL-01,EC35,31.3118050,120.5964655,199.9,BUSY,M-P-001,V2
63,63,L-UAV-01,AMZN,31.3058221,120.6022002,100.0,BUSY,M-L-001,V2
63,63,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
63,63,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
64,64,EVTOL-01,EC35,31.3114423,120.5964448,199.9,BUSY,M-P-001,V2
64,64,L-UAV-01,AMZN,31.3059527,120.6022428,100.0,BUSY,M-L-001,V2
64,64,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
