t,sim_time_s,aircraft_id,type,lat,lon,alt_m,status,mission_id,dest
25,25,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
26,26,EVTOL-01,EC35,31.3077692,120.6020918,199.9,BUSY,M-P-001,V1
26,26,L-UAV-01,AMZN,31.3021355,120.5994011,100.0,BUSY,M-L-001,V3
26,26,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
26,26,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
27,27,EVTOL-01,EC35,31.3080915,120.6022883,199.9,BUSY,M-P-001,V1
27,27,L-UAV-01,AMZN,31.3022494,120.5994875,100.0,BUSY,M-L-001,V3
27,27,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
27,27,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
28,28,EVTOL-01,EC35,31.3084138,120.6024847,199.9,BUSY,M-P-001,V1
28,28,L-UAV-01,AMZN,31.3023633,120.5995740,100.0,BUSY,M-L-001,V3
28,28,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
28,28,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
29,29,EVTOL-01,EC35,31.3087361,120.6026812,199.9,BUSY,M-P-001,V1
29,29,L-UAV-01,AMZN,31.3024772,120.5996604,100.0,BUSY,M-L-001,V3
29,29,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
29,29,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
30,30,EVTOL-01,EC35,31.3090584,120.6028777,199.9,BUSY,M-P-001,V1
30,30,L-UAV-01,AMZN,31.3025910,120.5997469,100.0,BUSY,M-L-001,V3
30,30,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
30,30,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
31,31,EVTOL-01,EC35,31.3093807,120.6030742,199.9,BUSY,M-P-001,V1
31,31,L-UAV-01,AMZN,31.3027049,120.5998334,100.0,BUSY,M-L-001,V3
31,31,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
31,31,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
32,32,EVTOL-01,EC35,31.3097030,120.6032707,199.9,BUSY,M-P-001,V1
32,32,L-UAV-01,AMZN,31.3028188,120.5999198,100.0,BUSY,M-L-001,V3
32,32,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
32,32,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
33,33,EVTOL-01,EC35,31.3100253,120.6034671,199.9,BUSY,M-P-001,V1
33,33,L-UAV-01,AMZN,31.3029327,120.6000063,100.0,BUSY,M-L-001,V3
33,33,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
33,33,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
34,34,EVTOL-01,EC35,31.3103477,120.6036636,199.9,BUSY,M-P-001,V2
34,34,L-UAV-01,AMZN,31.3030466,120.6000928,100.0,BUSY,M-L-001,V3
34,34,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
34,34,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
35,35,EVTOL-01,EC35,31.3106867,120.6038161,199.9,BUSY,M-P-001,V2
35,35,L-UAV-01,AMZN,31.3031605,120.6001792,100.0,BUSY,M-L-001,V3
35,35,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
35,35,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
36,36,EVTOL-01,EC35,31.3110382,120.6039228,199.9,BUSY,M-P-001,V2
36,36,L-UAV-01,AMZN,31.3032743,120.6002657,100.0,BUSY,M-L-001,V3
