t,sim_time_s,aircraft_id,type,lat,lon,alt_m,status,mission_id,dest
22,22,L-UAV-01,AMZN,31.3020658,120.5993482,100.0,BUSY,M-L-001,V3
22,22,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
22,22,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
23,23,EVTOL-01,EC35,31.3072859,120.6017972,199.9,BUSY,M-P-001,V1
23,23,L-UAV-01,AMZN,31.3021797,120.5994346,100.0,BUSY,M-L-001,V3
23,23,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
23,23,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
24,24,EVTOL-01,EC35,31.3076082,120.6019937,199.9,BUSY,M-P-001,V1
24,24,L-UAV-01,AMZN,31.3022936,120.5995211,100.0,BUSY,M-L-001,V3
24,24,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
24,24,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
25,25,EVTOL-01,EC35,31.3079306,120.6021902,199.9,BUSY,M-P-001,V1
25,25,L-UAV-01,AMZN,31.3024075,120.5996075,100.0,BUSY,M-L-001,V3
25,25,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
25,25,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
26,26,EVTOL-01,EC35,31.3082529,120.6023866,199.9,BUSY,M-P-001,V1
26,26,L-UAV-01,AMZN,31.3025214,120.5996940,100.0,BUSY,M-L-001,V3
26,26,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
26,26,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
27,27,EVTOL-01,EC35,31.3085752,120.6025831,199.9,BUSY,M-P-001,V1
27,27,L-UAV-01,AMZN,31.3026352,120.5997805,100.0,BUSY,M-L-001,V3
27,27,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
27,27,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
28,28,EVTOL-01,EC35,31.3088975,120.6027796,199.9,BUSY,M-P-001,V1
28,28,L-UAV-01,AMZN,31.3027491,120.5998669,100.0,BUSY,M-L-001,V3
28,28,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
28,28,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
29,29,EVTOL-01,EC35,31.3092198,120.6029761,199.9,BUSY,M-P-001,V1
29,29,L-UAV-01,AMZN,31.3028630,120.5999534,100.0,BUSY,M-L-001,V3
29,29,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
29,29,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
30,30,EVTOL-01,EC35,31.3095421,120.6031726,199.9,BUSY,M-P-001,V1
30,30,L-UAV-01,AMZN,31.3029769,120.6000399,100.0,BUSY,M-L-001,V3
30,30,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
30,30,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
31,31,EVTOL-01,EC35,31.3098644,120.6033690,199.9,BUSY,M-P-001,V1
31,31,L-UAV-01,AMZN,31.3030908,120.6001263,100.0,BUSY,M-L-001,V3
31,31,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
31,31,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
32,32,EVTOL-01,EC35,31.3101867,120.6035655,199.9,BUSY,M-P-001,V2
32,32,L-UAV-01,AMZN,31.3032046,120.6002128,100.0,BUSY,M-L-001,V3
32,32,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
32,32,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
33,33,EVTOL-01,EC35,31.3105258,120.6037180,199.9,BUSY,M-P-001,V2
33,33,L-UAV-01,AMZN,31.3033185,120.6002992,100.0,BUSY,M-L-001,V3
33,33,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
33,33,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
34,34,EVTOL-01,EC35,31.3108773,120.6038247,199.9,BUSY,M-P-001,V2
34,34,L-UAV-01,AMZN,31.3034324,120.6003857,100.0,BUSY,M-L-001,V3
34,34,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
34,34,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
35,35,EVTOL-01,EC35,31.3112369,120.6038842,199.9,BUSY,M-P-001,V2
35,35,L-UAV-01,AMZN,31.3035463,120.6004722,100.0,BUSY,M-L-001,V3
35,35,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
35,35,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
36,36,EVTOL-01,EC35,31.3116000,120.6038958,199.9,BUSY,M-P-001,V2
36,36,L-UAV-01,AMZN,31.3036602,120.6005586,100.0,BUSY,M-L-001,V3
