t,sim_time_s,aircraft_id,type,lat,lon,alt_m,status,mission_id,dest
27,27,L-UAV-01,AMZN,31.3013553,120.5988086,100.0,BUSY,M-L-001,V3
27,27,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
27,27,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
28,28,EVTOL-01,EC35,31.3098188,120.6033412,199.9,BUSY,M-P-001,V1
28,28,L-UAV-01,AMZN,31.3014692,120.5988951,100.0,BUSY,M-L-001,V3
28,28,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
28,28,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
29,29,EVTOL-01,EC35,31.3101411,120.6035377,199.9,BUSY,M-P-001,V2
29,29,L-UAV-01,AMZN,31.3015830,120.5989816,100.0,BUSY,M-L-001,V3
29,29,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
29,29,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
30,30,EVTOL-01,EC35,31.3104801,120.6036902,199.9,BUSY,M-P-001,V2
30,30,L-UAV-01,AMZN,31.3016969,120.5990680,100.0,BUSY,M-L-001,V3
30,30,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
30,30,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
31,31,EVTOL-01,EC35,31.3108317,120.6037969,199.9,BUSY,M-P-001,V2
31,31,L-UAV-01,AMZN,31.3018108,120.5991545,100.0,BUSY,M-L-001,V3
31,31,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
31,31,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
32,32,EVTOL-01,EC35,31.3111913,120.6038564,199.9,BUSY,M-P-001,V2
32,32,L-UAV-01,AMZN,31.3019247,120.5992409,100.0,BUSY,M-L-001,V3
32,32,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
32,32,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
33,33,EVTOL-01,EC35,31.3115543,120.6038680,199.9,BUSY,M-P-001,V2
33,33,L-UAV-01,AMZN,31.3020386,120.5993274,100.0,BUSY,M-L-001,V3
33,33,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
33,33,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
34,34,EVTOL-01,EC35,31.3119162,120.6038315,199.9,BUSY,M-P-001,V2
34,34,L-UAV-01,AMZN,31.3021524,120.5994139,100.0,BUSY,M-L-001,V3
34,34,M-UAV-01,M600,31.3108767,120.6039862,30.5,AVAILABLE,,
34,34,M-UAV-02,M600,31.2971716,120.5956323,30.5,AVAILABLE,,
35,35,EVTOL-01,EC35,31.3122722,120.6037473,199.9,BUSY,M-P-001,V2
